L,Full mission,A x A,B x B,A x B
1.700000000000000000e+01,-3.977476418281149055e-04,-7.744721431907420402e-04,-2.049499562722465612e-03,4.179276738752062126e-03
1.800000000000000000e+01,-1.240476668695438987e-03,4.678783830642314207e-03,-1.134878372127040569e-02,1.357105498149296929e-03
1.900000000000000000e+01,1.307525648078769606e-03,1.032841565031615387e-02,-9.056709173260298062e-03,1.914578565555969357e-03
2.000000000000000000e+01,4.798367791376370248e-03,4.040142184081716922e-03,5.721435297804135928e-03,2.348202405180673056e-03
2.100000000000000000e+01,1.683093470888161886e-03,8.187490158549083977e-03,-3.518457266029173525e-03,1.034687310552585664e-02
2.200000000000000000e+01,-7.891748210545940136e-04,-1.067129521381726199e-03,1.517733415880594778e-03,-2.620268281552847259e-03
2.300000000000000000e+01,8.189671450860512266e-04,5.141969121690301639e-03,-3.534952742078174143e-03,8.486013995290000306e-03
2.400000000000000000e+01,-1.447653926163845837e-03,6.767012100590783300e-03,-9.359945291591165867e-03,1.428322536462513399e-03
2.500000000000000000e+01,-3.906139640452298278e-03,-5.300309815463783748e-03,1.103621130343374057e-03,-7.306922737536539203e-03
2.600000000000000000e+01,1.379227321596898865e-03,1.527201418854765014e-02,-7.564780123921752315e-03,-2.854673846265364922e-03
2.700000000000000000e+01,-3.316646300150841598e-03,-7.882162343366520829e-03,-1.700978093830878522e-03,-5.030702629408719765e-04
2.800000000000000000e+01,5.668131903389285985e-03,1.006521616332191338e-02,4.185228826994920499e-03,1.376679953659089468e-02
2.900000000000000000e+01,-5.367883884674058779e-04,-8.481900551400821386e-03,1.321351924175216339e-02,-5.016014679186273258e-03
3.000000000000000000e+01,-1.699922645329074011e-03,3.089908503897610854e-05,-7.776391987404031488e-03,-1.809827464997041920e-03
3.100000000000000000e+01,1.676510343318746241e-03,-3.046856310526949770e-03,-5.703623562482735415e-03,6.926310153116449833e-03
3.200000000000000000e+01,2.826630761571427564e-03,-3.817628405856986901e-03,-7.485557058299084632e-03,5.864317024274420982e-03
3.300000000000000000e+01,-6.108198378632922771e-04,-6.286161719710843185e-03,4.116905818949577120e-04,5.016731534213703624e-03
3.400000000000000000e+01,-5.090376677751456708e-06,1.100429466620070525e-02,-3.926026042341589431e-03,3.629343200095348429e-03
3.500000000000000000e+01,-1.469452061537866163e-03,4.981837591982020072e-03,6.591196640955867062e-03,-3.885371767833508457e-03
3.600000000000000000e+01,-1.528915106120176714e-03,5.421782069389802054e-04,1.279920843504374350e-02,-6.579479870565499953e-03
3.700000000000000000e+01,1.479729469224365900e-03,-2.325833953720121781e-03,6.951804785070066911e-03,-1.626497157772103293e-03
3.800000000000000000e+01,4.671626983605300411e-03,2.113046062138359497e-03,3.542650514589390683e-03,6.796723884675850980e-03
3.900000000000000000e+01,-1.294213599157754881e-03,-2.510563779568830874e-03,-1.411227852992478007e-03,-1.745408615621219309e-04
4.000000000000000000e+01,4.412556116086237615e-03,1.037801297751973426e-02,4.983175047038363066e-03,1.461139504418426660e-02
4.100000000000000000e+01,7.111625750297423040e-03,-9.377311848811947965e-04,8.203811548417268285e-03,5.530254707022874347e-03
4.200000000000000000e+01,2.541051132577637137e-03,1.262034002495595990e-02,4.216680346252410852e-03,7.254213206927906041e-03
4.300000000000000000e+01,8.674934607514203037e-04,8.002345264334378289e-03,4.192640301722873331e-03,-8.913150788481751137e-04
4.400000000000000000e+01,5.123444350185970718e-04,2.338011961198203145e-05,8.978504547158031555e-04,3.521998315273712661e-03
4.500000000000000000e+01,-4.150092896809906584e-04,-2.338132241602205834e-04,-1.164670245229783123e-03,-3.859128086689323552e-03
4.600000000000000000e+01,9.995478822333811204e-04,3.150298785709220936e-03,-4.359631232233922293e-03,6.451846935987512119e-03
4.700000000000000000e+01,-1.150712268893138140e-03,1.573030609405282098e-03,-8.680666485916927431e-05,5.819313001055847470e-04
4.800000000000000000e+01,-3.810934304825327502e-04,-2.947924782012185246e-05,2.031959992561535415e-03,-4.664947777332696492e-03
4.900000000000000000e+01,-2.850516126735996034e-04,1.553923913152106037e-03,-7.352265175136420312e-04,1.732504321561784740e-03
5.000000000000000000e+01,-8.201389476911630531e-05,1.009492189913477507e-02,2.772478533988633788e-03,-1.468026323845730277e-03
5.100000000000000000e+01,2.393453517993125203e-03,2.013846345472782885e-03,4.702142560848686370e-04,1.255171118536122345e-03
5.200000000000000000e+01,3.017134076761387269e-04,-1.445912788407055505e-03,3.509714111706634110e-03,-3.281578404040304524e-03
5.300000000000000000e+01,-1.836806030097635177e-03,-7.357745261949499155e-03,-1.841432602211813454e-03,-3.017028124241221201e-03
5.400000000000000000e+01,1.412481354493524532e-03,-3.697997064133303445e-03,9.149430548367544144e-03,1.216633677035354813e-03
5.500000000000000000e+01,-1.422608246152341684e-03,-8.558932717534469339e-04,1.047161106251550712e-02,-5.059490080938957614e-03
5.600000000000000000e+01,5.179243828165707711e-04,-1.122882759964732337e-02,4.165264320977638685e-03,4.787873562073031997e-03
5.700000000000000000e+01,2.449039857590983547e-03,7.364392199519403590e-03,-3.232866143660700561e-04,1.197367394894777648e-03
5.800000000000000000e+01,3.156882984203901281e-03,-5.692136472004147123e-03,3.889879327324618531e-03,2.460445678961717918e-03
5.900000000000000000e+01,2.796109995102102896e-03,1.915179766993567543e-03,3.226502391158262914e-03,3.766138238394195156e-05
6.000000000000000000e+01,1.886813729883474178e-03,-5.795213712854227050e-04,1.583082995655137959e-03,2.422801626704692950e-03
6.100000000000000000e+01,-7.571765736653820458e-05,2.147803650063511913e-03,1.137962190476125932e-03,-5.432490517372678442e-03
6.200000000000000000e+01,-7.991081150353728088e-04,3.841152020385705732e-03,-2.274998353595766680e-03,-1.212579849771066535e-03
6.300000000000000000e+01,2.584480055584069142e-03,-4.789148447821552426e-04,5.787562622972101424e-04,2.351245594699250853e-03
6.400000000000000000e+01,2.469904432024180516e-03,7.433523804585258701e-04,-6.872915964160493905e-04,7.688435470584500595e-03
6.500000000000000000e+01,-2.972337841932942877e-03,-6.900035791636464390e-03,-2.533102806543161868e-03,1.877186062008586506e-03
6.600000000000000000e+01,-3.777269582203843278e-04,-2.871847039341230215e-03,1.886239539348382637e-03,2.148649870072693452e-03
6.700000000000000000e+01,-6.052559532392336053e-04,2.140493312223287845e-03,-2.650504517586619105e-03,-3.843196293723038625e-03
6.800000000000000000e+01,-3.898264205148876862e-03,-7.627440098757891709e-03,2.342110086329562968e-03,-5.831428889644636217e-03
6.900000000000000000e+01,-8.035154388744572638e-04,-4.067118559887768735e-03,1.927475465779469790e-03,8.767977603380237850e-04
7.000000000000000000e+01,-1.994337842463272427e-03,3.089399178594302159e-03,-8.329723045334305569e-04,-3.160207860382370330e-03
7.100000000000000000e+01,2.173834924271491296e-03,7.224531014132921578e-03,8.170988676114463584e-03,5.741302359415272928e-03
7.200000000000000000e+01,6.571832462607249056e-04,7.095818210912960104e-04,1.271816739987207193e-03,8.127126625606070128e-04
7.300000000000000000e+01,1.340879387237048966e-03,-6.957608199957789584e-03,-1.399685935425188169e-04,4.979424874848863147e-03
7.400000000000000000e+01,-1.803416457489209236e-03,-2.020367128334118849e-03,2.996283181716129316e-03,-6.602522021483425707e-03
7.500000000000000000e+01,-2.561477522450798382e-04,6.947198382415058736e-03,-2.213041247736029834e-04,-2.246130580030857374e-03
7.600000000000000000e+01,1.477759098157411166e-03,5.249596254276364324e-03,3.495410803707013278e-03,-3.865069741563418801e-03
7.700000000000000000e+01,2.285097253068694729e-03,5.425807066422058764e-04,1.031376902070845272e-02,-1.870315853036941429e-03
7.800000000000000000e+01,-1.393305242063312926e-04,-3.532375096029705813e-03,2.623641344588633142e-03,-6.389911115448368602e-03
7.900000000000000000e+01,-1.717756185392019632e-03,6.913051743577790405e-03,-2.361247923792796077e-03,-7.543194780080199682e-03
8.000000000000000000e+01,1.771264241937405156e-04,2.947286071411195016e-03,2.679024084659963403e-03,-1.279427079770213303e-03
8.100000000000000000e+01,1.034356225249884447e-03,2.457731575783261672e-03,1.495334691293646314e-03,1.290390095910552920e-03
8.200000000000000000e+01,-9.866705975266015869e-04,-1.893820430237155416e-03,4.537385167303930808e-03,-3.531271809808854845e-03
8.300000000000000000e+01,-5.090098899702819773e-06,-5.352979121381471611e-03,9.127864524648770465e-04,6.164791128089707872e-04
8.400000000000000000e+01,-9.963615597676194879e-04,-1.731275408470847859e-03,-5.348867541367899499e-04,-3.544126250041783593e-03
8.500000000000000000e+01,2.623120826319979507e-03,4.474516984474735670e-03,3.567722259752214263e-03,-6.785767943994684779e-04
8.600000000000000000e+01,-1.332335857325764880e-03,-6.845545975905567918e-03,-3.740290228173718048e-03,3.868546567226738070e-04
8.700000000000000000e+01,-1.325577701262644400e-03,-5.168056078976217792e-03,-1.572065012126582168e-03,3.911619079780942997e-04
8.800000000000000000e+01,4.628985345098656640e-03,9.663635977406588237e-03,4.045649161922810350e-03,6.245621708165520827e-03
8.900000000000000000e+01,-4.873872441415830225e-04,-6.719092707262485850e-03,1.874540203261141269e-03,2.163780242284907111e-03
9.000000000000000000e+01,2.901506012682754897e-04,-1.102668048761434351e-03,-1.654338814119268516e-03,-3.888410782094336039e-03
9.100000000000000000e+01,-3.517603975970903492e-04,-7.660709590254404303e-03,-4.083940614493383574e-03,4.940057881382559253e-03
9.200000000000000000e+01,2.131848100290145102e-03,-1.330677349928045036e-03,-1.067653835036308334e-03,7.290302698529404699e-03
9.300000000000000000e+01,-1.023850981051679107e-03,-4.855918097047278066e-03,5.014675857863883784e-03,-5.985543980566177154e-03
9.400000000000000000e+01,8.961121532978101167e-04,3.993290040162054272e-03,-9.604138487311372589e-04,2.625794153111509453e-03
9.500000000000000000e+01,-2.480584670603185483e-03,-5.015312775494893197e-03,8.570070779731371862e-04,-3.584476795358856535e-03
9.600000000000000000e+01,2.790272301382775181e-04,1.791330912305203003e-03,-1.944380731001516373e-03,4.380473634313948443e-04
9.700000000000000000e+01,9.169707721520693050e-04,5.616400336467243515e-03,4.397525923760114627e-03,-5.741154246844015763e-03
9.800000000000000000e+01,-5.646214608257427593e-05,-5.205220853250672360e-03,-1.530051709488674562e-03,8.931192379340119011e-05
9.900000000000000000e+01,1.594268233742887272e-08,2.299230921620889177e-03,4.065547373720830408e-03,-1.333063878810039279e-03
1.000000000000000000e+02,-1.441420636371613939e-03,1.664265473486824026e-03,-5.402863027330697971e-04,-7.503598553877279106e-04
1.010000000000000000e+02,2.600809352384178194e-03,4.748854418610574425e-03,2.360771680877335639e-03,4.492689992449074542e-03
1.020000000000000000e+02,-1.058879583870686375e-03,-3.908362749477822980e-04,-4.270637696255078636e-03,1.742632791337772255e-03
1.030000000000000000e+02,1.732415650929376976e-03,-6.990863445490368491e-03,-2.793496622103055181e-03,1.787951092478096658e-03
1.040000000000000000e+02,-2.581463055074430246e-05,1.189606668151572868e-03,-1.345465492399856248e-03,-1.676458653493124226e-03
1.050000000000000000e+02,-8.465038468688128922e-04,2.902229995181869297e-03,2.779517347108267054e-03,-5.450352018084257937e-04
1.060000000000000000e+02,-5.763285936118188544e-04,-3.766147241477001226e-03,-1.118781655568421929e-03,-5.212044050121832344e-04
1.070000000000000000e+02,-1.518917629593284245e-03,2.044456682689029057e-03,-5.498475920840159396e-04,-4.222966125233184806e-03
1.080000000000000000e+02,-9.124908750260033287e-04,-5.390273006122448148e-04,1.561120930098944520e-03,2.174605752632609041e-03
1.090000000000000000e+02,5.985342673375228456e-04,-1.886367627939835451e-03,-7.725219974911465108e-04,1.789405491781563811e-03
1.100000000000000000e+02,2.313803350175999436e-03,-6.806876255834931264e-03,2.875293166208792509e-03,-3.259283165571371255e-06
1.110000000000000000e+02,5.715284752363009079e-04,-2.427687798932552914e-03,3.235235390628874233e-03,-5.295621453610750880e-04
1.120000000000000000e+02,-7.760408988500964349e-04,2.821241458497575350e-03,-3.475707445851202500e-03,-3.197919147851913026e-03
1.130000000000000000e+02,2.450620474721417700e-03,7.956197914564963614e-03,5.812373367543734182e-03,2.497638502749731110e-03
1.140000000000000000e+02,3.774494979245883583e-04,3.112770343844486684e-03,-4.899815553361930136e-03,2.409963643556772318e-03
1.150000000000000000e+02,1.237868777396605464e-03,3.087161776529275935e-03,-1.508638006660104405e-03,1.007096060868536199e-03
1.160000000000000000e+02,7.514435074612407480e-04,-2.180585524351311578e-03,-2.829133974560661506e-03,2.036202356827014528e-03
1.170000000000000000e+02,5.373311394690277396e-04,2.586144165658276449e-03,7.871834873213422439e-04,-1.753360745358696019e-03
1.180000000000000000e+02,9.738176404805285076e-04,3.848534932112351523e-03,2.721743474339207661e-03,-4.710438960625439172e-04
1.190000000000000000e+02,1.519138766413981280e-03,6.662377179264674862e-03,-7.068150039557373910e-04,2.396622442513419732e-03
1.200000000000000000e+02,1.214857159102810313e-03,2.939034058614717337e-03,6.524329678905364804e-03,-8.926893217121552922e-07
1.210000000000000000e+02,7.920028121519541789e-04,2.017082538692929576e-03,-9.317585235327399251e-04,-6.667024077303653406e-04
1.220000000000000000e+02,9.131553259988883873e-04,-3.995842882193838264e-03,-3.342126998336315911e-03,-3.782405347728992053e-05
1.230000000000000000e+02,3.444485997109126771e-03,-1.869916522740399691e-04,7.969236049567679156e-03,5.271024092524252171e-03
1.240000000000000000e+02,8.866369041781591021e-05,-9.116938826479766347e-03,1.629523054722873711e-03,1.681519480510834490e-03
1.250000000000000000e+02,7.223190071105854704e-04,4.133644429436928412e-03,-3.522877790586515304e-03,4.418528320046354561e-03
1.260000000000000000e+02,-9.404642784844699814e-04,1.486910132848684885e-03,-2.277327667118390041e-03,3.198239872716528674e-03
1.270000000000000000e+02,2.018976914397343884e-04,-6.284927823127460338e-03,9.471107964635844603e-04,6.747033446909945185e-04
1.280000000000000000e+02,-1.689972500845640657e-03,-4.898494495753863073e-03,-3.063438892348570829e-03,-1.305561965771234040e-03
1.290000000000000000e+02,2.658441901726911992e-03,1.961114418838524106e-03,3.069556390088724537e-03,3.524378751901824109e-03
1.300000000000000000e+02,-1.074135884493406835e-03,-3.992189395176711821e-03,2.482639825830870728e-03,1.041082196365960199e-03
1.310000000000000000e+02,-3.085937452765050246e-03,-3.455913111384188458e-03,3.391783132833712990e-03,-2.623288411176510470e-03
1.320000000000000000e+02,9.177348302510713630e-04,1.895369947469667873e-03,-3.710312667758538033e-03,1.113157338307581203e-03
1.330000000000000000e+02,-7.168108987865784909e-04,2.321741545716314581e-03,3.891035093794808879e-04,-1.073534680321108162e-03
1.340000000000000000e+02,4.481820047140993224e-04,4.273786299386761814e-03,1.613493097804072698e-03,-3.792129085313435989e-03
1.350000000000000000e+02,-4.606656068859652777e-04,3.247867789251928337e-03,-4.897542124877390067e-04,5.041888470397737701e-03
1.360000000000000000e+02,-1.567753854686283191e-03,7.255457362739107293e-04,-6.079067015861945936e-04,-4.676505765423312477e-03
1.370000000000000000e+02,-2.563592413731794872e-03,1.094254344525087512e-03,-1.806400051231344360e-03,-2.786218127005930974e-03
1.380000000000000000e+02,6.898212916346121515e-04,-5.090212910088449255e-03,-5.085742141765371011e-04,4.248301930387336626e-05
1.390000000000000000e+02,-1.735065202316872935e-04,-1.738696005618528724e-03,1.570181667083168356e-03,-8.159418970567855565e-04
1.400000000000000000e+02,2.011826402096525326e-03,4.821396857466499208e-03,3.288962825205957695e-03,-1.862845288382250931e-03
1.410000000000000000e+02,-9.892397807662425043e-05,2.332273963753676415e-03,-2.107192665376979995e-03,-3.111099781398231584e-04
1.420000000000000000e+02,-1.942215082519490547e-03,8.189065296956726282e-04,-9.809719254132336433e-04,-8.866140666697734131e-04
1.430000000000000000e+02,-6.948576850089366232e-05,-3.160774458272710887e-03,6.477053143450059100e-05,-7.169814987942767139e-04
1.440000000000000000e+02,-1.476688521032478102e-03,5.715399302214955665e-03,-1.781487355725507645e-03,-3.713151645754565527e-05
1.450000000000000000e+02,-5.816626914586222816e-04,-6.108861590182384019e-03,5.803107207284232370e-04,3.985721724157919622e-04
