L,Full mission,HM1 x HM1,HM2 x HM2,HM1 x HM2
1.210000000000000000e+02,3.250658322254261923e-03,-3.298947817609663557e-03,2.892092433947823175e-03,3.146199993143221438e-03
1.220000000000000000e+02,7.481012532217134938e-04,5.075528997702564819e-03,6.081054488676849654e-03,1.361377201178453874e-03
1.230000000000000000e+02,4.560713842328287075e-03,1.523815301716645657e-02,5.907936087398393127e-03,3.870214962382025926e-03
1.240000000000000000e+02,1.085513364195288700e-03,-8.375141171293449052e-03,-3.545853798963473358e-03,1.203950621351533015e-03
1.250000000000000000e+02,3.527856059386489870e-03,6.919705590504318139e-03,-3.699452085470889256e-03,3.674784232360749081e-03
1.260000000000000000e+02,4.257990926890063796e-05,-3.147833244247214739e-04,5.955828780091754031e-03,-1.388121741530743683e-03
1.270000000000000000e+02,-3.593668085651885869e-05,-5.717178714149665462e-03,4.087223762410378824e-03,-6.395471901096708113e-04
1.280000000000000000e+02,1.274182526866314905e-03,2.407430038890983649e-03,-1.388509544183545025e-04,2.014323724915287567e-04
1.290000000000000000e+02,2.456547122984755090e-03,1.174501792404859454e-02,9.780503419441889494e-04,5.721767070043863937e-03
1.300000000000000000e+02,2.119641869229184523e-03,-4.138588707991838235e-03,1.436018862473800034e-02,7.406040884838782775e-04
1.310000000000000000e+02,-1.023100721262606809e-03,3.768710818724256995e-03,-4.118190902685867766e-04,-4.940898873924956698e-03
1.320000000000000000e+02,-1.038193737123990941e-03,-7.766105160715876081e-03,3.114331921374801238e-03,-6.986244158834479384e-03
1.330000000000000000e+02,-5.700776507820396773e-05,4.283745827506469858e-03,2.440665448592592608e-03,-4.374742563036729259e-03
1.340000000000000000e+02,1.006684732471274050e-03,5.615313750372287124e-03,3.987443048082541658e-03,-1.523349944897758033e-04
1.350000000000000000e+02,2.363530352569643590e-03,3.608921933291962120e-04,5.230344268540901807e-04,3.191058373444466412e-03
1.360000000000000000e+02,-1.458335663275035212e-03,3.460115746545799724e-03,1.739755832514803570e-04,-9.588102212538026498e-03
1.370000000000000000e+02,-7.466117527600502546e-04,-2.776066383061136407e-03,-1.558381394501787533e-03,2.328063454125002367e-03
1.380000000000000000e+02,-7.339308853150227231e-05,-4.396619454753307975e-03,-2.543277537336652641e-04,-8.519718259841376189e-04
1.390000000000000000e+02,1.840442560616450040e-03,5.872466841424861875e-04,-1.553497842181604874e-03,5.405279191681900308e-05
1.400000000000000000e+02,-5.174518953747293728e-04,9.169015488382952980e-03,-1.417370866825514407e-03,-4.589256473128850225e-03
1.410000000000000000e+02,-1.996699529242738609e-04,3.149944357557893024e-03,1.321070528940537780e-03,2.452098282366672356e-03
1.420000000000000000e+02,-3.343963635656715776e-03,-7.238207113649368536e-03,-8.566078505671464310e-03,-3.895398249775208765e-03
1.430000000000000000e+02,-3.154848056217691554e-05,-3.281479194472095885e-03,5.516363385320666689e-03,-2.254487164309363322e-03
1.440000000000000000e+02,-2.422997072245591972e-03,-4.986300071258847715e-03,-5.566211565142377068e-03,1.381009361389461208e-03
1.450000000000000000e+02,-6.801455290518063253e-04,2.185531189403599681e-03,1.030851975737248107e-03,-8.275574086893562609e-04
1.460000000000000000e+02,-2.236110123918198973e-03,1.009235717022252590e-03,3.931531537676250139e-03,-2.885699315724295916e-03
1.470000000000000000e+02,7.728343569269606646e-04,-3.790672728719282538e-03,-2.374693914738655251e-03,-1.211683346036785455e-03
1.480000000000000000e+02,-1.443090657881598762e-04,3.633721982463522775e-03,-6.741959729408955604e-03,-3.660975271259622526e-04
1.490000000000000000e+02,7.574640836002436003e-04,1.302171779828288937e-03,2.446023258925117752e-04,-2.072080359867673870e-03
1.500000000000000000e+02,3.217411325476851299e-04,-1.056787069066767717e-03,1.683556192098871647e-04,5.852912679141027315e-04
1.510000000000000000e+02,-1.768784102368463557e-03,3.995480582468453716e-03,-1.788439262769976092e-03,-1.652863815880470247e-03
1.520000000000000000e+02,8.600980471387714059e-05,4.087260723038228794e-03,6.458022053278018176e-03,2.569962088445574069e-03
1.530000000000000000e+02,-1.676606396197373059e-03,1.380454579352237551e-04,5.230792907789414553e-03,-4.807258143580555448e-03
1.540000000000000000e+02,-2.410287671252778728e-03,5.383247174455276472e-04,-4.690719271650684030e-04,-7.020350911003077517e-03
1.550000000000000000e+02,-3.445400398162690473e-04,-2.131723948979319036e-03,3.098633177230629421e-03,-3.425717050013984705e-03
1.560000000000000000e+02,9.569020911334704879e-04,-3.479803671685776072e-03,4.200426253529938522e-03,3.495527612482691743e-03
1.570000000000000000e+02,4.167136291403865768e-04,-2.809434950758396467e-03,9.343743437430916850e-04,5.338855013225024364e-03
1.580000000000000000e+02,-2.073891908748532603e-03,-8.263516772822309883e-03,-1.964175457902491394e-03,1.114362214159288428e-03
1.590000000000000000e+02,-1.260559976082540386e-03,8.742862872390651588e-03,7.089584661873105272e-04,-1.810009848713583797e-03
1.600000000000000000e+02,7.730297979195539988e-06,3.219772470947945657e-03,-3.960357680490335375e-03,1.922934362232808694e-03
