L bin,alpha T,alpha E,alpha B
5.749999999999996447e+01,-2.849070735925102529e-03,4.262381188645526347e-05,-3.122407101824564409e-05
1.574999999999999147e+02,1.830247194319995440e-04,-1.230196909467549017e-05,2.698859965801323369e-05
2.574999999999998295e+02,-4.588300177164689403e-04,1.666563676172494584e-05,-6.056344547860947009e-06
3.574999999999998295e+02,-5.946010200036815942e-04,-4.342493019632637425e-05,-3.196349832082402466e-06
4.574999999999996589e+02,-2.143544417301575667e-04,9.098620149046186741e-06,2.817005630801948957e-06
5.574999999999995453e+02,-1.332577671247509173e-04,9.664981034109747542e-08,4.548368201401999821e-06
6.574999999999994316e+02,1.049729777713805145e-04,-2.331618044011547414e-05,1.582775536609579009e-06
7.574999999999994316e+02,7.492643718503800242e-05,-1.304089226875103728e-05,2.387627151649083612e-06
8.574999999999993179e+02,1.596045695679345223e-04,8.453959653459471266e-06,-5.272295433448385532e-06
9.574999999999990905e+02,7.982545477480422607e-06,-9.066248388503798567e-06,-2.798066979876845662e-06
1.057499999999999091e+03,3.691066905187080763e-05,-1.932099132407949027e-05,-3.300116781812571580e-06
1.157499999999998863e+03,-2.730950385258704889e-05,-9.390324345963915042e-07,-1.803630980322612105e-06
1.257499999999999545e+03,-3.640356984240358026e-05,1.221480034463350516e-05,3.631053736219357974e-06
1.357499999999999091e+03,-3.293140152687370787e-05,1.031816900828852141e-06,5.238883652757140230e-06
1.457499999999999091e+03,-2.478549561447363931e-05,8.399150903481469911e-06,-4.380324150073385191e-06
