L bin,Dls alpha T,Dls alpha E,Dls alpha B,err alpha T Dls,err alpha E Dls,err alpha B Dls
57.499999999999964,-0.5790539091325031,0.040128077260474404,-0.009933100809927022,1.6620049165995328,0.030991948906011133,0.018398543305794195
157.49999999999991,2.169423465158526,-0.16870285736612883,0.019746383014287914,5.14393855380552,0.09417758713270268,0.07775055534426045
257.49999999999983,-11.358311524637964,-0.1374893033694487,-0.03659557577707037,7.1938601273006455,0.2522369317826359,0.1847890629971581
357.49999999999983,-13.586153284780291,-0.37215453587356745,-0.6762171282826398,6.895687141396416,0.6935155738148714,0.31732473028898467
457.49999999999966,-1.972529973874853,0.03957160316196586,-0.4372849817848464,7.032454545841211,0.7367463496332193,0.4444684878457188
557.4999999999995,-6.009764895555929,0.5439163374032188,-0.03758277964687324,9.130489419361393,0.909423093647624,0.6287865515841029
657.4999999999994,-0.5813488906371542,-4.18771862979443,-0.8189793018960367,8.829789573466664,1.3759330365521478,0.9873598591419138
757.4999999999994,-0.04455101670253928,-1.3377951954784737,1.939345074715894,10.014075461955773,1.4984576987251605,1.1738480495695696
857.4999999999993,17.073012959223604,0.7851317408641817,-0.438148372534518,11.397140314533036,1.8622915240327471,1.7268033949421921
957.4999999999991,14.193310834213916,1.1526464972464836,1.067063192770813,9.17073286427829,2.440970467152955,2.0846950334444645
1057.499999999999,-4.920600347902223,-2.260895520157466,-1.8743469592671531,9.643690804862727,2.780533786377412,2.4354814899441184
1157.4999999999989,1.4244790595838281,-1.1467718812967795,3.768998426899495,10.120003623446646,3.6276381585150856,3.4738266378530147
1257.4999999999995,-5.2226056812043105,6.7728181142235755,2.7561415674843195,9.818605054865381,4.111702319759217,4.318583034204139
1357.499999999999,8.677214468606232,-0.7699309369324785,-0.7684640874409072,9.926944782112448,5.530478996096331,5.950834236384843
1457.499999999999,-8.76815643310831,2.357530168424236,6.396567214735501,11.182455937555531,7.110855939752036,7.48505323689575
